name,type,neighborhood,latitude,longitude
Bud Hammer Park,Park,Hazelwood,40.42095425,-79.94669546
Buhl Community Park at Allegheny Square,Park,Allegheny Center,40.45244695,-80.0058282
Burgwin Park,Park,Hazelwood,40.40444462,-79.93683426
Catalano Park,Park,Spring Garden,40.46027648,-79.9919523
Chadwick Park,Park,Lincoln-Lemington-Belmar,40.46548562,-79.89150182
Chartiers Park,Park,Windgap,40.4569996,-80.07429276
Cobden Street Park,Park,South Side Slopes,40.41933769,-79.96819783
Cowley Park,Park,Troy Hill,40.45868971,-79.98892443
Craft Triangle,Traffic Island/Median,South Oakland,40.43596074,-79.96189949
Crafton Heights Park,Park,Westwood,40.43618562,-80.05669426
Cross and Strauss Park,Park,Perry South,40.46507273,-80.02006439
Crosstown,Traffic Island/Median,Central Business District,40.44147649,-79.99392247
Dallas Park,Park,Homewood West,40.45787275,-79.90451219
Davis Park,Park,Squirrel Hill South,40.43236453,-79.92495677
Denny Park,Park,Strip District,40.45791529,-79.97300942
Devlin Field Park,Park,Arlington,40.41363133,-79.96239682
Dinan Park,Park,Stanton Heights,40.48334706,-79.93258116
Dunbar Park,Park,Crafton Heights,40.43875027,-80.05238196
Duncan Park,Park,Upper Lawrenceville,40.48027054,-79.94836599
East Carnegie Park,Park,East Carnegie,40.41464246,-80.07487648
East Hills Park,Park,East Hills,40.45322138,-79.87049295
East Liberty Park,Park,East Liberty,40.46206529,-79.91874532
East Liberty Blvd Strip,Traffic Island/Median,East Liberty,40.46399299,-79.92002842
Edgerton Circle,Traffic Island/Median,Point Breeze,40.44788393,-79.91316708
Eleanor Street Park,Park,South Side Slopes,40.42140787,-79.97287912
Emerald View Park - Grandview Park,Park,Allentown,40.4265022,-79.99672317
Emerald View Park - Bigbee Field Park,Park,Allentown,40.42777444,-80.00137966
Emerald View Park - Duquesne Heights Greenway,Open Space,Duquesne Heights,40.43330003,-80.02364176
Emerald View Park - Eileen McCoy Park,Park,Duquesne Heights,40.43820153,-80.02448974
Emerald View Park - Grandview Overlook,Park,Mount Washington,40.43290121,-80.00852095
Emerald View Park - Mt. Washington Park,Park,Mount Washington,40.42280959,-80.01545509
Emerald View Park - Olympia Park,Park,Mount Washington,40.43099486,-80.01836069
Emerald View Park - Ream Park,Park,Mount Washington,40.43097353,-80.01324585
Emerald View Park - Shiloh Street Park,Park,Mount Washington,40.43141682,-80.00674163
Enright Park,Park,East Liberty,40.46188541,-79.9298333
Esplen Park,Park,Esplen,40.46071792,-80.050795
Fairywood Park,Park,Fairywood,40.4490034,-80.0804927
Fifty-Seventh Street Park,Park,Upper Lawrenceville,40.48600025,-79.94645706
Fineview Field Park,Park,Fineview,40.4598171,-80.00422974
Fineview Park,Park,Fineview,40.46185303,-80.00397011
Fort Duquesne Blvd Strip,Traffic Island/Median,Central Business District,40.44375945,-80.00442178
Fort Pitt Park,Park,Garfield,40.46948025,-79.94286062
Four Mile Run Park,Park,Greenfield,40.42755086,-79.94946848
Fowler Park,Park,Perry South,40.47020188,-80.0099397
Frank Curto Park,Park,Strip District,40.45121632,-79.97770769
Frankstown Triangle 1 & 2,Traffic Island/Median,Larimer,40.46142816,-79.91561672
Frazier Park,Park,South Oakland,40.42930297,-79.95480252
Frick Park,Park,Squirrel Hill South,40.42810207,-79.90652418
Friendship Park,Park,Bloomfield,40.462562,-79.94616121
Gardner Park,Park,Troy Hill,40.46169871,-79.98625964
Garland Park,Park,East Liberty,40.46394917,-79.92763745
Garvin Park,Park,Perry North,40.49254989,-80.01853913
Gladstone Park,Park,Hazelwood,40.41514649,-79.93860657
Glen Arden Circle,Traffic Island/Median,Point Breeze,40.44713999,-79.91312808
Glen Arden Triangle,Traffic Island/Median,Point Breeze,40.44825576,-79.91187041
Grant Street Islands,Traffic Island/Median,Beechview,40.41134967,-80.01682612
Granville Park,Park,Crawford-Roberts,40.44440558,-79.98288845
Harris Triangle,Traffic Island/Median,North Oakland,40.45603992,-79.95477101
Hays Park,Park,Hays,40.38339448,-79.93152605
Hazelwood Healthy Active Living Center,Building Grounds,Hazelwood,40.4033965,-79.94269751
Herschel Park,Park,Elliott,40.43946222,-80.04345514
Heth's Park,Park,Highland Park,40.47767489,-79.92766686
Highland Ave Plant Strip,Traffic Island/Median,East Liberty,40.46583928,-79.92308113
Highland Park,Park,Highland Park,40.47889441,-79.91443522
Homewood Park,Park,Homewood South,40.45390633,-79.89981033
Homewood Healthy Active Living Center,Building Grounds,Homewood North,40.45688563,-79.89296068
Jail Triangle,Traffic Island/Median,Central Business District,40.43816989,-79.99460277
Jefferson Park,Park,Central Northside,40.45908991,-80.01453182
Joe Natoli Park,Park,Morningside,40.48382384,-79.92577658
Kennard Park,Park,Terrace Village,40.44269574,-79.97346025
Kite Hill Park,Park,Garfield,40.46700606,-79.93261822
Larimer Park,Park,Larimer,40.4663881,-79.91309448
Lawn and Ophelia Park,Park,South Oakland,40.43543415,-79.96526185
Le Roi Rd Island,Traffic Island/Median,Point Breeze,40.44766271,-79.9040743
Legion Memorial Park,Park,Brighton Heights,40.48188282,-80.0347123
Leister Street Park,Park,Spring Hill-City View,40.46212183,-79.99569252
Leolyn Park,Park,Carrick,40.39925237,-79.98589199
Leslie Park,Park,Central Lawrenceville,40.47289785,-79.95755045
Lewis Park,Park,Hazelwood,40.4128944,-79.94481042
Liberty Avenue Island,Traffic Island/Median,Central Business District,40.44145396,-80.00499768
Lincoln Place Park,Park,Lincoln Place,40.36997505,-79.91742673
Lodge Potenza Healthy Active Living Center,Building Grounds,Mount Washington,40.4301351,-80.00796024
Lookout Street Park,Park,Troy Hill,40.46929339,-79.97693144
Loraine St Park,Open Space,Central Northside,40.45871619,-80.00649426
Magee Park,Park,Greenfield,40.42521011,-79.93733765
Manchester Park,Park,Manchester,40.45867217,-80.02545513
Manchester School Park,Park,Manchester,40.45676217,-80.02489684
Market Square Park,Open Space,Central Business District,40.44068917,-80.00256423
